targetWord,age_group,pc,num_subjects
lollipop,9,0.9464285714285714,55
lollipop,10,0.9787234042553191,47
lollipop,11,0.92,25
lollipop,25,1,66
mandolin,3,0.5,4
mandolin,4,0.3333333333333333,3
mandolin,5,1,2
mandolin,6,1,4
mandolin,7,0.7777777777777778,18
mandolin,8,0.673469387755102,49
mandolin,9,0.7808219178082192,73
mandolin,10,0.7391304347826086,46
mandolin,11,0.92,25
mandolin,25,0.9855072463768116,69
map,3,0.3333333333333333,3
map,4,0.8,5
map,5,1,2
map,6,1,3
map,7,0.8888888888888888,18
map,8,0.9565217391304348,46
map,9,0.9629629629629629,54
map,10,0.9791666666666666,48
map,11,1,27
map,25,0.9818181818181818,55
marshmallow,3,1,3
marshmallow,4,0,1
marshmallow,5,1,7
marshmallow,6,0.6666666666666666,3
marshmallow,7,1,19
marshmallow,8,1,35
marshmallow,9,0.9649122807017544,57
marshmallow,10,0.9512195121951219,41
marshmallow,11,0.9615384615384616,26
marshmallow,25,0.971830985915493,71
mulch,3,0,1
mulch,4,0,2
mulch,5,0.5,4
mulch,6,0.2,5
mulch,7,0.2857142857142857,14
mulch,8,0.21739130434782608,46
mulch,9,0.3103448275862069,58
mulch,10,0.25,44
mulch,11,0.21428571428571427,28
mulch,25,0.7468354430379747,79
net,3,0.2,5
net,4,0.75,4
net,5,0.8,5
net,6,1,2
net,7,0.9375,16
net,8,1,23
net,9,0.8870967741935484,62
net,10,0.9444444444444444,54
net,11,1,16
net,25,1,79
oatmeal,3,0.6666666666666666,6
oatmeal,4,0.25,4
oatmeal,5,1,5
oatmeal,6,1,3
oatmeal,7,0.6666666666666666,9
oatmeal,8,0.9428571428571428,35
oatmeal,9,0.8208955223880597,67
oatmeal,10,0.8125,64
oatmeal,11,0.84,25
oatmeal,25,0.9324324324324325,74
oil,3,1,2
oil,4,0.75,4
oil,5,1,2
oil,6,1,2
oil,7,0.9230769230769231,13
oil,8,0.8615384615384616,65
oil,9,0.7454545454545455,55
oil,10,0.8909090909090909,55
oil,11,0.8571428571428571,21
oil,25,0.9705882352941176,68
omelet,3,0.25,4
omelet,4,0.3333333333333333,3
omelet,5,0,1
omelet,6,1,5
omelet,7,1,11
omelet,8,0.9722222222222222,36
omelet,9,0.9285714285714286,69
omelet,10,1,53
omelet,11,0.9583333333333334,24
omelet,25,0.9523809523809523,63
otter,3,0.2,5
otter,4,0.8,5
otter,5,1,2
otter,6,0.75,4
otter,7,0.8461538461538461,13
otter,8,0.775,40
otter,9,0.7272727272727273,66
otter,10,0.8363636363636363,55
otter,11,0.7058823529411765,17
otter,25,0.821917808219178,73
pajamas,3,0.6,5
pajamas,4,1,2
pajamas,5,0.6666666666666666,6
pajamas,6,0.6666666666666666,6
pajamas,7,0.6923076923076923,13
pajamas,8,0.6666666666666666,39
pajamas,9,0.6774193548387096,62
pajamas,10,0.6792452830188679,52
pajamas,11,0.7857142857142857,14
pajamas,25,0.8679245283018868,53
parsley,3,0.3333333333333333,6
parsley,4,1,1
parsley,5,1,5
parsley,6,0.75,4
parsley,7,0.6818181818181818,22
parsley,8,0.7105263157894737,38
parsley,9,0.6229508196721312,61
parsley,10,0.5510204081632653,49
parsley,11,0.7368421052631579,19
parsley,25,0.9166666666666666,72
pie,3,1,3
pie,4,0.8333333333333334,6
pie,5,1,5
pie,6,1,3
pie,7,1,14
pie,8,0.9629629629629629,54
pie,9,0.96875,64
pie,10,0.98,50
pie,11,1,27
pie,25,0.9696969696969697,66
pistachio,3,0.5,2
pistachio,5,1,4
pistachio,6,1,3
pistachio,7,0.7857142857142857,14
pistachio,8,0.975,40
pistachio,9,0.9384615384615385,65
pistachio,10,0.875,48
pistachio,11,0.9523809523809523,21
pistachio,25,0.9875,80
pitcher,3,0.16666666666666666,6
pitcher,4,0.6666666666666666,3
pitcher,5,0.75,4
pitcher,6,0.3333333333333333,6
pitcher,7,0.42857142857142855,14
pitcher,8,0.4523809523809524,42
pitcher,9,0.5757575757575758,66
pitcher,10,0.631578947368421,38
pitcher,11,0.7222222222222222,18
pitcher,25,0.9855072463768116,69
potato,3,0.6666666666666666,6
potato,4,1,2
potato,5,1,2
potato,6,1,5
potato,7,0.9,10
potato,8,0.9761904761904762,42
potato,9,0.9285714285714286,56
potato,10,1,42
potato,11,0.9444444444444444,18
potato,25,0.9857142857142858,70
prism,3,0.75,4
prism,4,0,2
prism,5,0.5,2
prism,6,0.2,5
prism,7,0.6153846153846154,13
prism,8,0.7608695652173914,46
prism,9,0.7313432835820896,65
prism,10,0.8070175438596491,57
prism,11,0.9444444444444444,18
prism,25,0.9859154929577465,71
prune,4,1,2
prune,5,0.875,8
prune,6,0.3333333333333333,3
